CORPORATE BANKS,,,,,,,,,,
ING Australia,Corporate / foreign subsidiary,First Home Buyer Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
ING Australia,Corporate / foreign subsidiary,Green / Sustainability Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
ING Australia,Corporate / foreign subsidiary,Home Loan Refinance,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
ING Australia,Corporate / foreign subsidiary,Investment Property Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
ING Australia,Corporate / foreign subsidiary,Owner-Occupied Home Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
ING Australia,Corporate / foreign subsidiary,Project Finance,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
ING Australia,Corporate / foreign subsidiary,Reverse Mortgage / Equity Release,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
ING Australia,Corporate / foreign subsidiary,Revolving Credit Facility,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
ING Australia,Corporate / foreign subsidiary,Secured Personal Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
ING Australia,Corporate / foreign subsidiary,SMSF / Self-Managed Super Property Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
ING Australia,Corporate / foreign subsidiary,Trade Finance,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
ING Australia,Corporate / foreign subsidiary,Unsecured Personal Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
ING Australia,Corporate / foreign subsidiary,Vacant Land Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
ING Australia,Corporate / foreign subsidiary,Working Capital Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
HSBC Australia,Corporate / foreign subsidiary,Agribusiness / Farm Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
HSBC Australia,Corporate / foreign subsidiary,Bridging Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
HSBC Australia,Corporate / foreign subsidiary,Business Overdraft / Line of Credit,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
HSBC Australia,Corporate / foreign subsidiary,Business Term Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
HSBC Australia,Corporate / foreign subsidiary,Car / Vehicle Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
HSBC Australia,Corporate / foreign subsidiary,Commercial Property Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
HSBC Australia,Corporate / foreign subsidiary,Commercial Real Estate Finance,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
HSBC Australia,Corporate / foreign subsidiary,Construction Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
HSBC Australia,Corporate / foreign subsidiary,Corporate Term Facility,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
HSBC Australia,Corporate / foreign subsidiary,Equipment / Asset Finance,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
HSBC Australia,Corporate / foreign subsidiary,First Home Buyer Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
HSBC Australia,Corporate / foreign subsidiary,Green / Sustainability Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
HSBC Australia,Corporate / foreign subsidiary,Home Loan Refinance,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
HSBC Australia,Corporate / foreign subsidiary,Investment Property Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
HSBC Australia,Corporate / foreign subsidiary,Owner-Occupied Home Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
HSBC Australia,Corporate / foreign subsidiary,Project Finance,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
HSBC Australia,Corporate / foreign subsidiary,Reverse Mortgage / Equity Release,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
HSBC Australia,Corporate / foreign subsidiary,Revolving Credit Facility,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
HSBC Australia,Corporate / foreign subsidiary,Secured Personal Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
HSBC Australia,Corporate / foreign subsidiary,SMSF / Self-Managed Super Property Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
HSBC Australia,Corporate / foreign subsidiary,Trade Finance,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
HSBC Australia,Corporate / foreign subsidiary,Unsecured Personal Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
HSBC Australia,Corporate / foreign subsidiary,Vacant Land Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
HSBC Australia,Corporate / foreign subsidiary,Working Capital Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
AMP Bank,Corporate / other ADI,Agribusiness / Farm Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
AMP Bank,Corporate / other ADI,Bridging Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
AMP Bank,Corporate / other ADI,Business Overdraft / Line of Credit,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
AMP Bank,Corporate / other ADI,Business Term Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
AMP Bank,Corporate / other ADI,Car / Vehicle Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
AMP Bank,Corporate / other ADI,Commercial Property Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
AMP Bank,Corporate / other ADI,Commercial Real Estate Finance,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
AMP Bank,Corporate / other ADI,Construction Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
AMP Bank,Corporate / other ADI,Corporate Term Facility,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
AMP Bank,Corporate / other ADI,Equipment / Asset Finance,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
AMP Bank,Corporate / other ADI,First Home Buyer Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
AMP Bank,Corporate / other ADI,Green / Sustainability Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
AMP Bank,Corporate / other ADI,Home Loan Refinance,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
AMP Bank,Corporate / other ADI,Investment Property Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
AMP Bank,Corporate / other ADI,Owner-Occupied Home Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
AMP Bank,Corporate / other ADI,Project Finance,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
AMP Bank,Corporate / other ADI,Reverse Mortgage / Equity Release,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
AMP Bank,Corporate / other ADI,Revolving Credit Facility,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
AMP Bank,Corporate / other ADI,Secured Personal Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
AMP Bank,Corporate / other ADI,SMSF / Self-Managed Super Property Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
AMP Bank,Corporate / other ADI,Trade Finance,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
AMP Bank,Corporate / other ADI,Unsecured Personal Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
AMP Bank,Corporate / other ADI,Vacant Land Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
AMP Bank,Corporate / other ADI,Working Capital Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
Judo Bank,Corporate / other ADI,Agribusiness / Farm Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
Judo Bank,Corporate / other ADI,Bridging Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Judo Bank,Corporate / other ADI,Business Overdraft / Line of Credit,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
Judo Bank,Corporate / other ADI,Business Term Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
Judo Bank,Corporate / other ADI,Car / Vehicle Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
Judo Bank,Corporate / other ADI,Commercial Property Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
Judo Bank,Corporate / other ADI,Commercial Real Estate Finance,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
Judo Bank,Corporate / other ADI,Construction Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Judo Bank,Corporate / other ADI,Corporate Term Facility,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
Judo Bank,Corporate / other ADI,Equipment / Asset Finance,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
Judo Bank,Corporate / other ADI,First Home Buyer Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Judo Bank,Corporate / other ADI,Green / Sustainability Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
Judo Bank,Corporate / other ADI,Home Loan Refinance,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Judo Bank,Corporate / other ADI,Investment Property Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Judo Bank,Corporate / other ADI,Owner-Occupied Home Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Judo Bank,Corporate / other ADI,Project Finance,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
Judo Bank,Corporate / other ADI,Reverse Mortgage / Equity Release,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Judo Bank,Corporate / other ADI,Revolving Credit Facility,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
Judo Bank,Corporate / other ADI,Secured Personal Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
Judo Bank,Corporate / other ADI,SMSF / Self-Managed Super Property Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Judo Bank,Corporate / other ADI,Trade Finance,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
Judo Bank,Corporate / other ADI,Unsecured Personal Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
Judo Bank,Corporate / other ADI,Vacant Land Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Judo Bank,Corporate / other ADI,Working Capital Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
Rabobank Australia,Corporate / foreign subsidiary,Agribusiness / Farm Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
Rabobank Australia,Corporate / foreign subsidiary,Bridging Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Rabobank Australia,Corporate / foreign subsidiary,Business Overdraft / Line of Credit,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
Rabobank Australia,Corporate / foreign subsidiary,Business Term Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
Rabobank Australia,Corporate / foreign subsidiary,Car / Vehicle Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
Rabobank Australia,Corporate / foreign subsidiary,Commercial Property Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
Rabobank Australia,Corporate / foreign subsidiary,Commercial Real Estate Finance,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
Rabobank Australia,Corporate / foreign subsidiary,Construction Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Rabobank Australia,Corporate / foreign subsidiary,Corporate Term Facility,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
Rabobank Australia,Corporate / foreign subsidiary,Equipment / Asset Finance,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
Rabobank Australia,Corporate / foreign subsidiary,First Home Buyer Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Rabobank Australia,Corporate / foreign subsidiary,Green / Sustainability Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
Rabobank Australia,Corporate / foreign subsidiary,Home Loan Refinance,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Rabobank Australia,Corporate / foreign subsidiary,Investment Property Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Rabobank Australia,Corporate / foreign subsidiary,Owner-Occupied Home Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Rabobank Australia,Corporate / foreign subsidiary,Project Finance,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
Rabobank Australia,Corporate / foreign subsidiary,Reverse Mortgage / Equity Release,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Rabobank Australia,Corporate / foreign subsidiary,Revolving Credit Facility,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
Rabobank Australia,Corporate / foreign subsidiary,Secured Personal Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
Rabobank Australia,Corporate / foreign subsidiary,SMSF / Self-Managed Super Property Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Rabobank Australia,Corporate / foreign subsidiary,Trade Finance,Authorised corporate borrower,Corporate/legal status must be acceptable,Facility-specific collateral/leverage,"$500,000+ / negotiated",Negotiated,Audited financials and forecasts required,Debt service / covenant capacity assessed,Corporate credit assessment required
Rabobank Australia,Corporate / foreign subsidiary,Unsecured Personal Loan,18,Accepted residency/legal status required,No deposit if unsecured; security if applicable,"$5,000-$100,000",Up to 7 years,Regular verifiable income required,Must pass affordability assessment,Acceptable credit history; adverse events may require manual review
Rabobank Australia,Corporate / foreign subsidiary,Vacant Land Loan,18,Accepted residency/legal status required,10% demo minimum; >80% LVR extra review,"$50,000-$2,000,000",Up to 30 years,Regular verifiable income required,Must pass serviceability assessment,Acceptable credit history; adverse events may require manual review
Rabobank Australia,Corporate / foreign subsidiary,Working Capital Loan,18+ / authorised business applicant,Business/legal status must be acceptable,Contribution/security depends on facility,"$20,000-$5,000,000",Up to 15 years,Business cash flow and financials required,Business serviceability/cash-flow assessment required,Business credit assessment required
,,,,,,,,,,
MUTUAL / MEMBER-OWNED BANKS,,,,,,,,,,
Bank,Bank Type,Loan Type,Min Age,Residency Policy,Deposit / LVR Policy,Dummy Loan Amount,Dummy Max Term,Income / Cash Flow Policy,Serviceability Policy,Credit Policy
